pl_orbsmax,pl_masse
0.068800,2765.12100
,
,
,3400.76395
,
,
0.035930,2294.73260
,2301.08920
,
0.036000,2320.10000
0.036100,2302.89900
,
0.036170,2310.62410
0.049500,1261.78510
,
,
0.049400,1291.28900
,
,1547.83210
,785.04010
0.041710,696.68336
0.041400,682.35200
,
,
0.041400,682.69884
0.041420,690.32676
,685.55931
,
,
,
,425.89220
0.023200,664.23700
,664.26470
,
,
0.023020,658.00000
,
0.023200,626.12510
0.046500,217.71355
0.046510,229.79109
,227.24845
,
,
,
0.046500,217.70400
,
,238.37250
,
0.046600,180.20200
,
,
,
0.046590,180.20961
0.046600,180.84527
,
,22.24810
,
0.047900,18.75100
,18.91089
,
,
0.040300,209.75900
,
0.040000,197.05000
,
0.039980,195.78328
,
,
0.043400,198.95300
,
,
0.043370,202.45771
,245.68259
0.066690,214.85308
,
0.066500,243.77561
0.066700,247.26100
,
,279.69040
,
,
0.038710,
,
0.038780,189.10885
0.038940,190.38017
0.038820,189.42668
0.038990,193.55847
,206.58950
,
,
0.038660,187.83000
0.038420,185.61272
,
,190.38017
0.041900,232.96939
,230.74458
,263.79890
0.041900,237.10118
0.041900,225.96800
,
,
,
,
0.061000,682.38101
0.055000,689.98000
,
,
,721.47410
,707.80741
,
,263.79890
,
0.034300,
,
,
0.033970,216.12440
0.034270,238.37250
0.034300,273.32200
,273.33380
,
,
,251.08570
0.049950,209.76780
,
,292.40360
,
,
,206.58950
0.049900,242.17600
,1249.07190
0.067740,1058.37390
,
,
,
0.067700,1057.69400
,
,
,
,2227.98830
,
0.049780,335.62848
0.049800,334.97900
,
,2390.08160
,
,
0.024100,587.41341
0.023880,588.62116
,486.27990
0.024020,611.82275
,
,
0.023820,587.98550
0.023800,582.24000
,
,
,
,
0.037910,378.21770
0.037900,371.52800
0.037930,381.39600
,
0.052310,84.86061
,
,
,
0.052300,84.85700
,
0.050950,180.84527
0.050900,190.37200
,216.12000
0.044380,213.25500
,203.09337
,176.71348
0.044490,206.90733
,
,
0.044600,216.12440
0.044650,216.12440
0.044500,
,
0.060760,184.65923
0.060800,195.45700
,152.55840
,
,
,
,
,254.26400
,
,
0.042600,254.25300
,378.21770
0.042580,252.67485
0.057500,279.69040
,
,
,
,
0.057500,331.80100
,
0.044400,
0.044450,232.01590
0.044300,210.39500
,
,
,
,
,
0.050700,111.87100
,
,
1.752000,
,
0.045200,283.49200
,
0.045210,273.33380
0.057700,156.68400
,
,
,
,
,699.22600
0.043800,549.82300
0.043780,562.55910
,
0.040730,324.18660
,311.47340
,
,
,
0.040710,336.89980
0.040970,
,
0.040750,336.89000
,
0.045270,431.93097
,
,
0.045300,429.07050
,
0.050670,98.84513
,
0.050690,98.20947
,
,
,
0.036940,259.98494
,
,
0.036960,259.66711
0.031590,471.65972
,
0.031600,469.43491
,
,
,
0.041170,241.55080
,
,
,
0.041220,578.45060
,
0.046040,184.97706
,
,
0.046040,184.34140
,
,
,
,
,
0.042320,603.87700
0.044700,
,
,
,
,734.18730
0.042300,692.86940
,448.14030
0.040600,587.98550
,
,
,
0.049940,118.23217
0.050640,489.45575
,
,
,
,419.53560
,
,351.83781
,
0.052440,337.85329
0.052390,351.51998
0.052370,336.58197
0.052350,335.93200
,
,
0.062770,182.43351
,
,
0.030100,335.94463
,
0.037720,241.86742
0.042940,195.14664
,
,
0.053870,184.34048
,
,
0.039510,167.49641
,
,
,
0.043630,248.86089
,
,
0.065050,108.06220
0.029960,230.10892
,
0.065550,1137.83140
,
,
,
0.036760,534.59006
0.039000,
0.038100,
,
0.032000,564.44200
,
0.038100,
0.038050,571.77617
0.037700,564.44200
,539.35751
0.035500,566.05523
,
,
,
,584.80720
0.038130,574.00098
0.038100,
0.037600,
,
,
,
0.047390,2154.88740
,
,
,
,414.45032
0.044900,483.10160
,
,
0.044960,430.34182
0.048700,483.08000
,
,406.82240
0.052900,247.27174
0.052900,241.86863
,212.94610
,
0.052870,238.05467
,
0.053000,247.90000
,
,
0.044400,589.55000
,
,
0.044460,556.20250
,
0.044910,167.17858
0.044930,185.93055
,
,
0.050700,
0.046140,270.15550
,263.79890
,
0.044100,
,
,
0.047950,756.43540
,759.61370
,
0.040570,172.58169
,
,
0.040590,188.15536
,
,340.07810
0.038150,340.39593
0.038150,339.76027
,
,
,
0.027120,689.69110
,
0.037440,1039.30410
,
,
0.130800,425.25654
,
,
,
,
0.017610,629.30340
,
0.017400,629.14449
,
,
0.023000,427.46300
0.022980,486.27990
,
,
,
,
,
0.050250,870.85420
,
,
0.033970,467.21010
0.023800,718.29580
0.025760,
,
,
0.025470,775.50520
,
,
0.051630,194.82979
,
,
,
,
,
0.047350,206.58950
,
0.061100,168.44990
,
,
,
,
0.041310,213.58176
,
,
,
,
,
0.054750,207.54299
0.048500,340.39593
,
,
,
,174.80650
0.048500,340.38200
0.048520,349.61300
,
0.043540,224.38798
,
,
0.047800,279.69040
,
0.040240,292.40360
,
,
,
0.037310,
,
,
,
,
0.037270,378.85336
,
,
0.031660,299.07803
,
0.031990,388.38826
,
,
0.052300,
,
,
0.054250,1022.14128
0.049130,31.46517
,
0.050360,23.51942
,
0.060070,200.23290
,
,
,
,
,
,
0.036230,416.03947
0.036200,420.47100
,
0.049970,505.34970
,
,
,
0.058300,3082.95100
,
,
0.036890,597.52040
,
,
,
,
,
,
0.049440,82.95363
,
0.036490,177.98480
,
,
,
0.055110,222.48100
,
,
,
,
0.053670,54.98459
,
,
,
0.042690,117.27927
,
,
0.037690,77.23269
,
,
0.045150,112.19399
0.054280,75.64354
,
,
0.054200,75.32300
,
,
0.050460,123.95370
,
,
0.046390,244.09344
,
